,context
165,Môn học CS406 là môn học về Xử lý ảnh và ứng dụng. Nội dung môn học tập trung vào việc cung cấp kiến thức cơ bản về xử lý ảnh và kỹ thuật xây dựng hệ thống thông tin dựa trên ảnh cho sinh viên.
166,Cử nhân ngành Kỹ thuật Phần mềm (Áp dụng từ khóa 18 - 2023) Hình thức đào tạo: Chính quy tập trung. Số tín chỉ đào tạo: 130. Thời gian đào tạo: 4 năm (8 học kỳ chính);
167,"Môn học CE201, còn được gọi là Đồ án 1, cung cấp cho sinh viên các kỹ năng thiết kế mạch điện-điện tử và vi mạch cơ bản, cũng như phát triển phần mềm nhúng và phần mềm vi mạch trên các mạch do sinh viên thiết kế."
168,Môn học CS2433 là môn học Lập trình C/C++. Nội dung môn học tóm tắt như sau: Khóa học này giới thiệu các khái niệm lập trình cơ bản bằng ngôn ngữ lập trình C++. Lớp I/O chuẩn được nhấn mạnh. Các kỹ thuật lập trình có cấu trúc và hướng đối tượng được giới thiệu và sử dụng để thiết kế và triển khai một loạt các vấn đề lập trình.
169,"Môn học Tối ưu hóa công cụ tìm kiếm (IE204) tập trung vào việc cải thiện vị trí của website trên kết quả tìm kiếm của các công cụ như Google, Bing... Đây là một nhánh của tiếp thị kỹ thuật số bao gồm các kỹ thuật sau: tối ưu hóa trang web (tác động đến mã HTML, cấu trúc, bố cục và nội dung), xây dựng liên kết nội bộ (Internal links) và xây dựng liên kết từ các trang uy tín bên ngoài (Inbound links) để giúp các công cụ tìm kiếm xác định website phù hợp nhất với từ khóa mà người dùng đang tìm kiếm."
170,"Môn IS217: Môn học Kho dữ liệu và OLAP tập trung vào kiến thức nền tảng và nâng cao về kho dữ liệu, các kỹ thuật phân tích và thiết kế kho dữ liệu, mô hình dữ liệu đa chiều và ngôn ngữ truy vấn cơ sở dữ liệu đa chiều, phục vụ cho việc xây dựng các ứng dụng thực tế trong doanh nghiệp. Ngoài ra, môn học còn trang bị cho sinh viên các kỹ năng thiết kế và mô phỏng cơ sở dữ liệu dạng khối, phân tích dữ liệu đa chiều, khai phá dữ liệu, trích xuất, chuyển đổi và tải dữ liệu vào kho, sử dụng thành thạo các công cụ trí tuệ kinh doanh (BI) và ngôn ngữ truy vấn dữ liệu đa chiều."
171,"Môn học ""Giới thiệu ngành Mạng máy tính và Truyền thông dữ liệu"" (mã môn NT005) cung cấp cái nhìn tổng quan về ngành Công nghệ thông tin (CNTT), bao gồm cả những chuyên ngành chuyên sâu. Môn học giúp sinh viên hiểu rõ nội dung đào tạo và triển vọng nghề nghiệp trong ngành, nắm được các lĩnh vực và công việc có thể đảm nhiệm sau khi tốt nghiệp."
172,"Môn Bảo mật Internet (mã môn: NT405) tập trung vào các chủ đề sau:

- Tổng quát về bảo mật Internet
- Động cơ tấn công mạng của tin tặc
- Thăm dò, quét mạng và liệt kê lỗ hổng bảo mật
- Các hình thức tấn công mạng thường gặp
- Phần mềm gây hại phổ biến và cách phòng tránh (virus, sâu, trojan, backdoor, rootkit)
- Nghe lén giao tiếp mạng
- Kỹ thuật lừa đảo và phòng chống
- Các cuộc tấn công nhằm vào dịch vụ mạng
- Tường lửa và hệ thống phát hiện xâm nhập
- Các phương pháp kiểm tra bảo mật hệ thống và đối phó với tấn công mạng"
173,Môn học CE336 là môn học Tự động hóa thiết kế vi mạch. Nội dung môn học được tóm tắt như sau: 6875yu9cvxbvcxb
174,"Môn An toàn mạng máy tính có mã NT101, chuyên sâu vào các chủ đề sau:

- Những nguyên tắc cơ bản về bảo mật mạng máy tính
- Thiết lập một tổ chức an toàn, quản lý quyền truy cập và kiểm soát truy cập
- Các biện pháp ngăn chặn tấn công hệ thống, bảo vệ khỏi các cuộc tấn công botnet
- Các vấn đề bảo mật mạng liên quan đến phần mềm độc hại
- Bảo mật mạng Windows và Unix/Linux
- Bảo mật mạng truyền dẫn, LAN, mạng không dây và mạng di động"
175,"Môn học CS314 về Lập trình symbolic trong Trí tuệ nhân tạo giới thiệu về lập trình tính toán hình thức bằng ngôn ngữ Maple, giới thiệu về các lệnh thường dùng và các kiểu cấu trúc dữ liệu trong Maple, và ứng dụng lập trình tính toán trong thiết kế thuật giải heuristic và mạng tính toán trong Trí tuệ nhân tạo."
176,"Môn học Trình biên dịch có mã môn học là CE318. Tóm tắt nội dung môn học như sau: Môn học Trình biên dịch bao gồm việc nghiên cứu về nguyên tắc hoạt động của trình biên dịch, các kỹ thuật được sử dụng để thiết kế một trình biên dịch và các công cụ như Lex, Yacc để giúp việc cài đặt một trình biên dịch trở nên thuận tiện."
177,"Môn học Nhập môn Công nghệ phần mềm, được ký hiệu là CS4273, cung cấp kiến thức cốt lõi về quá trình phát triển phần mềm. Nội dung môn học bao gồm: giới thiệu đặc điểm của vòng đời phần mềm; các kỹ thuật, công cụ, phương pháp phát triển và bảo trì hệ thống phần mềm quy mô lớn; những mô hình và công cụ đánh giá; yếu tố con người và quá trình kiểm thử hệ thống."
178,"Môn ""Đồ án Khoa học dữ liệu và ứng dụng 2"" (mã DS203) là một môn học được triển khai trong học kỳ chính thức. Mục đích của môn học là cung cấp cho sinh viên những nền tảng ban đầu để bắt tay vào thực hiện các dự án khoa học dữ liệu và nâng cao ứng dụng của chúng. Trong quá trình học, sinh viên sẽ được trang bị các kỹ năng: phân tích và giải quyết vấn đề, thiết kế, phân tích, so sánh và đánh giá trên nhiều nguồn dữ liệu khác nhau sử dụng nhiều phương pháp khác nhau, giao tiếp, làm việc nhóm, viết và thuyết trình."
179,"- **Môn học NT534 An toàn mạng máy tính nâng cao**

- **Mô tả môn học:**

- Môn An toàn mạng máy tính nâng cao mở rộng kiến thức từ môn An toàn mạng máy tính, tập trung vào các chủ đề chuyên sâu hơn.

- Môn học cung cấp các kỹ thuật phòng vệ và ứng phó nâng cao chống lại các cuộc tấn công mạng phức tạp, chẳng hạn như tấn công từ chối dịch vụ (DoS) và hoạt động trên Internet ngầm (darknet).

- Môn học cũng thảo luận về các giải pháp kỹ thuật để ngăn chặn và quản lý truy cập mạng, cũng như nguy cơ từ các loại phần mềm độc hại tinh vi.

- Cuối cùng, môn học giới thiệu các kỹ thuật honeypot ở phía máy khách và máy chủ để nghiên cứu và thu thập phần mềm độc hại."
180,"Môn học CE436 có tên đầy đủ là Xử lý tín hiệu số và ứng dụng. Nội dung môn học tập trung vào việc cung cấp kiến thức về các khái niệm và kỹ thuật xử lý tín hiệu hiện đại, từ các ứng dụng quân sự chuyên môn hóa cao đến các ứng dụng công nghiệp điện tử tiêu dùng. Môn học này sẽ giúp sinh viên hiểu rõ hơn về các khái niệm sau: Tín hiệu và hệ thống rời rạc theo thời gian, biểu diễn hệ thống bằng phương trình vi phân, và phân tích hệ thống sử dụng biến đổi Fourier và biến đổi Z. Ngoài ra, sinh viên cũng sẽ được hướng dẫn về lý thuyết lấy mẫu tín hiệu liên tục theo thời gian và phân tích các hệ thống tuyến tính bất biến theo thời gian. Môn học cũng sẽ giới thiệu về biến đổi Fourier rời rạc (DFT) và thuật toán FFT để tính nhanh DFT, cùng với các phương pháp phân tích phổ tín hiệu rời rạc theo thời gian. Sinh viên cũng sẽ được học về các phương pháp chính để thiết kế các bộ lọc FIR và IIR. Cuối cùng, môn học cũng sẽ giới thiệu về ứng dụng thiết kế các mạch xử lý tín hiệu, thiết kế các thuật toán xử lý tín hiệu trên hệ thống SoC, hệ thống nhúng hoặc hệ thống mô phỏng Matlab. Sinh viên có thể chọn đồ án môn học ứng dụng theo chuyên ngành mong muốn, ví dụ như thiết kế vi mạch hoặc thiết kế hệ thống nhúng."
181,"Môn Tiếng Nhật dành cho công sở với mã môn JAN08 trang bị cho học viên kiến thức về ngôn ngữ giao tiếp trong môi trường làm việc văn phòng, cùng những chuẩn mực ứng xử phù hợp với ngữ cảnh công sở."
182,"Môn học ""Các phương pháp lập trình"" với mã là SE334 cung cấp kiến thức toàn diện về các kiến trúc, nền tảng, phương pháp và kỹ thuật lập trình được sử dụng phổ biến trong quá trình thiết kế và phát triển phần mềm. Sinh viên sẽ được tiếp cận với các kỹ thuật quan trọng như lập trình đệ quy, tối ưu hóa mã, lập trình hướng cấu trúc, hướng đối tượng và lập trình đa nhiệm, song song. Bên cạnh đó, môn học còn giới thiệu các ngôn ngữ lập trình như C++, Java và các thư viện hỗ trợ lập trình song song. Nội dung môn học bao gồm các nguyên tắc cơ bản về đặt tên biến, hàm, lớp trong lập trình, cũng như kỹ thuật thiết kế kiến trúc và giao diện chương trình. Phương pháp giảng dạy của môn học kết hợp giữa lý thuyết, thuyết trình và thực hành tự nghiên cứu. Môn học được chia thành ba phần chính: phần một trình bày các kỹ thuật cơ bản và nguyên lý của lập trình, phần hai giới thiệu chi tiết các phương pháp và kỹ thuật lập trình cụ thể, và phần ba hướng dẫn kỹ thuật thiết kế kiến trúc và giao diện chương trình."
183,"Môn Thiết kế, quản lý và quản trị hệ CSDL (MSIS4013) tập trung vào: - Lý thuyết và thực hành về mô hình dữ liệu và hệ thống CSDL - An ninh dữ liệu, đảm bảo tính toàn vẹn CSDL và quản trị CSDL trong các môi trường phân tán, liên mạng và chia sẻ - Khái niệm CSDL, bao gồm CSDL hướng đối tượng và phát triển CSDL Web - Phân tích, thiết kế và triển khai các hệ thống CSDL sử dụng các công cụ CSDL và ngôn ngữ cấp cao để trích xuất và thao tác dữ liệu"
184,"Môn Kỹ năng giao tiếp (mã môn: SPCH3724) rèn luyện các kỹ năng giao tiếp cho sinh viên trong lĩnh vực khoa học công nghệ. Nội dung môn học bao gồm các kiến thức và kỹ năng thực tiễn về lập kế hoạch, chuẩn bị và đánh giá báo cáo, đề xuất, hướng dẫn, chỉ dẫn nghiên cứu, cộng tác làm việc và thuyết trình."
185,"Môn học CE005 - Giới thiệu ngành Kỹ Thuật Máy tính, nhằm giúp sinh viên hiểu rõ về ngành học và định hướng nghề nghiệp, từ đó củng cố đam mê và xây dựng kế hoạch học tập phù hợp. Môn học này được thiết kế để cung cấp cái nhìn tổng quan về ngành Kỹ Thuật Máy Tính trong bối cảnh phát triển mạnh mẽ của ngành Công nghệ thông tin và Truyền thông, đặc biệt là công nghệ IoT. Ngoài ra, môn học cũng cung cấp thông tin về các nhóm ngành, yêu cầu và tương lai phát triển, giúp sinh viên nắm bắt cơ hội và xây dựng kế hoạch học tập đúng đắn."
186,"Môn NT105 Truyền dữ liệu mang lại cho sinh viên tổng quan về lĩnh vực truyền dữ liệu, bao gồm kiến thức về phương pháp mã hóa và điều chế; kỹ thuật truyền số và giao tiếp vật lý; cơ chế điều khiển liên kết, ghép kênh và mạng truyền."
187,Cử nhân ngành Kỹ thuật Máy tính (Áp dụng từ khóa 18 - 2023) Hình thức đào tạo: Chính quy tập trung.- Số tín chỉ đào tạo: 128 tín chỉ. - Thời gian đào tạo: 4 năm (8 học kỳ)
188,"Môn học CE212 là môn học về Điều khiển tự động. Nội dung môn học tóm tắt như sau: Môn học giới thiệu các mô hình vật lý cho sinh viên, cung cấp kiến thức về động học và hướng dẫn thực hành quá trình phân tích, thiết kế và đánh giá tính ổn định của hệ thống điều khiển tự động cơ bản dựa trên yêu cầu cụ thể."
189,"Môn Cơ sở dữ liệu mã IT004 trình bày rõ ràng vai trò thiết yếu của cơ sở dữ liệu đối với doanh nghiệp và nhiều tổ chức khác. Môn học giúp sinh viên hiểu biết sâu sắc về các nguyên tắc vận hành của hệ thống cơ sở dữ liệu, tập trung vào cơ sở dữ liệu quan hệ (mô hình dữ liệu quan hệ và các ngôn ngữ truy vấn dữ liệu). Trang bị cho sinh viên các kỹ thuật và công cụ thiết kế, thao tác với cơ sở dữ liệu quan hệ thông qua hệ quản trị cơ sở dữ liệu MS SQL Server. Mục đích là phục vụ cho các môn học nâng cao về cơ sở dữ liệu trong các học kỳ sau."
190,"Cử nhân ngành An toàn Thông tin (Áp dụng từ khóa 18 - 2023) - Hình thức đào tạo: Chính quy tập trung.- Số tín chỉ đào tạo: 129. - Thời gian đào tạo: 3,5 năm"
191,"Môn Quản lý mạng và hệ thống có mã môn là NT132, bao gồm những nội dung chính sau: cung cấp kiến thức và kỹ năng chuyên sâu để sinh viên thiết kế, cài đặt và quản lý hệ thống mạng dựa trên hệ điều hành Windows, Linux, đồng thời cấu hình và quản lý cơ sở hạ tầng mạng cũng như các thiết bị mạng liên quan. Theo đó, môn học hướng dẫn các kỹ thuật sau: thiết kế, cài đặt và cấu hình mạng; quản lý tài khoản, người dùng, nhóm người dùng, máy tính, chính sách...; quản lý cơ sở hạ tầng mạng bao gồm các dịch vụ, cấu hình địa chỉ IP động, tên miền, cấp chứng chỉ số, mạng riêng ảo,...; quản lý các dịch vụ như WWW, truyền tập tin, thư điện tử, chia sẻ tập tin và máy in; các cơ chế và công cụ bảo mật hệ thống và hạ tầng mạng; cũng như các công cụ quản lý mạng, hệ thống và SNMP."
192,"Môn học Giáo dục quốc phòng có mã hiệu ME001, cung cấp cho người học các kiến thức nền tảng về quốc phòng toàn dân, an ninh nhân dân, chủ trương của Đảng, chính sách, pháp luật của Nhà nước liên quan đến quốc phòng và an ninh; lịch sử đấu tranh bảo vệ đất nước của dân tộc, quân đội nhân dân và nghệ thuật quân sự Việt Nam; cách thức xây dựng hệ thống quốc phòng toàn dân, lực lượng vũ trang nhân dân và đảm bảo an ninh quốc gia; đồng thời trang bị các kiến thức cơ bản về phòng thủ dân sự và kỹ năng quân sự, giúp người học sẵn sàng thực hiện nghĩa vụ bảo vệ Tổ quốc."
193,"Môn học có tên mã là CS323 là môn học về hệ thống hỏi-đáp. Nội dung môn học tập trung vào kiến thức cơ bản về nghiên cứu Question Answering trong xử lý ngôn ngữ tự nhiên, bao gồm phân tích câu hỏi, phân tích tài liệu văn bản để xác định câu trả lời, mô hình hệ thống hỏi-đáp và phương pháp đánh giá hệ thống hỏi-đáp."
194,Môn Nguyên lý thiết kế thế giới ảo (mã môn SE403) cung cấp kiến thức và nguyên lý cơ bản để thiết kế thế giới ảo trong lĩnh vực công nghệ thông tin.
195,"Môn học Phân tích dữ liệu lớn trong tài chính, hay DS306, cung cấp kiến thức và kỹ năng thực tế về phân tích dữ liệu lớn trong lĩnh vực tài chính. Môn học hướng dẫn sinh viên cách áp dụng các mô hình phân tích dữ liệu lớn để giải quyết các vấn đề phổ biến như dự báo, phân tích khách hàng, phát hiện gian lận, hồi quy, và quản lý rủi ro. Ngoài nền tảng lý thuyết, sinh viên còn được tiếp cận dữ liệu thực tế về các báo cáo tài chính, dự báo giá cổ phiếu và các trường hợp gian lận. Các kỹ thuật trực quan hóa được sử dụng để trình bày rõ ràng các kết quả phân tích. Với sự tham gia của các giảng viên đến từ khoa kế toán-tài chính, môn học cung cấp cho sinh viên kiến thức chuyên sâu về ứng dụng phân tích dữ liệu lớn trong lĩnh vực này."
196,"Môn học CS333 là môn học về Đồ họa game. Nội dung môn học tập trung vào việc giới thiệu các kỹ thuật, phương pháp và cách sử dụng phần mềm, công cụ lập trình đồ họa cho video game. Mục tiêu của môn học là truyền đạt kiến thức cập nhật và hiện đại nhằm đáp ứng nhu cầu nhân lực của các đơn vị sản xuất video game."
197,"Môn học CE505 là môn Khóa luận tốt nghiệp. Nội dung môn học tập trung vào việc đào tạo sinh viên thực hiện Khóa luận tốt nghiệp với hai lĩnh vực chính là thiết kế hệ thống nhúng và IoT hoặc thiết kế vi mạch và phần cứng máy tính. Sau khi hoàn thành môn học này, sinh viên sẽ có kiến thức tổng hợp về một trong hai chuyên ngành trên, kỹ năng tìm hiểu, nghiên cứu và giải quyết các bài toán trong ngành KTMT, cũng như kỹ năng thuyết trình, giao tiếp và làm việc nhóm. Môn học này cũng đề cao thái độ làm việc tích cực trong ngành KTMT."
198,"Với mã học phần NT133, môn An toàn kiến trúc hệ thống cung cấp kiến thức về các mô hình được triển khai nhằm thiết lập hệ thống bảo mật. Những mô hình này bao gồm state machine, Bell-LaPadula, Biba cùng nhiều mô hình khác. Ngoài ra, môn học cũng đề cập đến các phương thức vận hành an toàn (chế độ hệ thống chuyên dụng, chế độ an ninh cao của hệ thống), tiêu chuẩn đánh giá hệ thống, cũng như các mô hình an toàn thông tin trong hệ thống phân tán và điện toán đám mây."
199,Môn Lịch sử Đảng Cộng sản Việt Nam với mã môn SS010 tập trung cung cấp cho sinh viên các kiến thức cốt lõi về lịch sử của Đảng Cộng sản Việt Nam.
200,"Mã môn học của môn Logic mờ và ứng dụng là CE319. Tóm tắt nội dung môn học như sau: Môn học này trình bày các khái niệm về tập mờ và logic mờ, đạo hàm và phương trình vi phân mờ, bài toán tối ưu hóa mờ, hệ chuyên gia mờ và hệ trợ giúp quyết định mờ, và phương pháp điều khiển mờ."
201,"Môn **Khoa học máy tính rời rạc nâng cao** (Mã môn: CS521) cung cấp kiến thức chuyên sâu về lý thuyết đồ thị, bao gồm: - Các tính chất của đồ thị: đồ thị Euler, đồ thị Hamilton, cây, cây đỏ đen, cây Huffman - Ứng dụng của các tính chất này trong việc triển khai các thuật toán trên đồ thị - Giới thiệu bài toán ghép đôi và lý thuyết mã"
202,"Môn Ngôn ngữ lập trình C# (mã môn CS511) giúp sinh viên:
- Hiểu rõ ngôn ngữ lập trình C#
- Nắm vững kiến trúc .NET
- Nắm được cách lập trình trên môi trường Windows
- Có khả năng lập trình giao diện
- Lập trình đồ họa GDI+
- Xử lý tập tin và thư mục
- Kết nối cơ sở dữ liệu
- Lập trình đa luồng
- Xây dựng ứng dụng trên nền .NET Framework"
203,"Môn Lập trình hệ thống (mã môn: NT209) là môn học trang bị cho sinh viên những nền tảng kiến thức về nguyên lý lập trình hệ thống máy tính, bao gồm ngôn ngữ Assembly cơ bản, cách chuyển đổi giữa ngôn ngữ cấp cao và mã máy. Không chỉ dừng lại ở đó, môn học còn cung cấp các kỹ năng tối ưu hóa chương trình, hiểu biết về stack, pointer, cache và kiến trúc máy tính để tạo ra các phần mềm an toàn, hiệu quả và có tầm nhìn tổng quan. Ngoài ra, kiến thức của môn học này còn hữu ích trong các kỹ thuật dịch ngược, gỡ lỗi và kiểm tra lỗi phần mềm."
204,"Môn học ""Lập trình trí tuệ nhân tạo trong trò chơi"" (SE328) sẽ đào sâu vào vai trò quan trọng của AI trong thành công của các trò chơi thương mại hiện đại. Nội dung môn học bao gồm:

- Các kỹ thuật tạo ra các tác nhân nhân tạo thông minh với khả năng di chuyển trong môi trường chơi, ra quyết định dựa trên kinh nghiệm học được.
- Các thuật toán cơ bản như tìm đường A*, suy luận dựa trên luật, cây quyết định, hệ thống đối thoại và biểu diễn kiến thức.
- Giới thiệu ngôn ngữ lập trình Python và quy trình phát triển hoàn chỉnh (từ đầu đến cuối) để ứng dụng AI trong thiết kế trò chơi."
205,"Môn học có mã CS5433 này mang tên ""Các hệ cơ sở dữ liệu phân tán"". Tóm tắt nội dung của môn học như sau: giới thiệu tổng quan về các hệ quản trị cơ sở dữ liệu; khám phá kiến trúc của một hệ quản trị cơ sở dữ liệu phân tán; tìm hiểu về các khía cạnh thiết kế của cơ sở dữ liệu phân tán; nắm được các nguyên lý xử lý truy vấn; làm quen với quản lý giao dịch, cách kiểm soát đồng thời phân tán và khám phá thêm về SQL Server."
206,"Môn học CE119 - Thực hành Kiến trúc máy tính cung cấp các bài tập thực hành liên quan đến môn Kiến trúc Máy tính. Nội dung môn học bao gồm việc xây dựng một hệ thống máy tính trên FPGA, sử dụng lõi xử lý mềm Nios II, Kit DE2 và phần mềm Quartus của Altera. Thông qua việc xây dựng hệ thống máy tính này, sinh viên sẽ được thực hành các vấn đề cơ bản về kiến trúc máy tính như lập trình ngôn ngữ assembly, kỹ thuật xuất nhập, cấu trúc bus,..."
207,"Môn Managerial Decision Theory, với mã môn MSIS3243, đào sâu các nguyên tắc cơ bản về quá trình ra quyết định của nhà quản lý, bao gồm ra quyết định trong bối cảnh rủi ro và không chắc chắn. Khóa học tập trung vào ứng dụng lý thuyết xác suất, cung cấp cho sinh viên các công cụ và kỹ thuật hỗ trợ ra quyết định hiệu quả. Bên cạnh đó, sinh viên sẽ tiếp cận các phương pháp đa mục tiêu và đưa ra quyết định thông qua nghiên cứu tình huống thực tế. Khóa học cũng trang bị cho sinh viên kiến thức về mô hình ra quyết định kinh doanh, phân tích quyết định Bayes, kỹ thuật đo lường, mô phỏng và các mô hình kiểm kê, giúp sinh viên hiểu rõ cách thức xử lý và phân tích dữ liệu để đưa ra quyết định sáng suốt."
208,"Môn học CS232 là môn Tính toán đa phương tiện. Nội dung môn học tập trung vào kiến thức về tính toán, xử lý dữ liệu đa phương tiện (hình ảnh, video, âm thanh) và các ứng dụng, công nghệ liên quan. Các chủ đề chính bao gồm đặc điểm của phương tiện truyền thông, biểu diễn đa phương tiện, định dạng dữ liệu, nén, công nghệ đa phương tiện và ứng dụng tính toán đa phương tiện."
209,"Môn Công nghệ thông tin trong thương mại điện tử, có mã MSIS4133, tập trung nghiên cứu ứng dụng công nghệ thông tin, hệ thống và nền tảng web vào thương mại điện tử. Môn học này trang bị cho sinh viên kỹ năng sử dụng công nghệ để kết nối các doanh nghiệp vượt qua rào cản về thời gian và địa lý. Nội dung môn học bao gồm các ngôn ngữ và mã nguồn mở, công cụ lập trình web, và các kỹ thuật kết nối được ứng dụng trong thiết kế và triển khai hệ thống thương mại điện tử."
210,Môn học CE313 về Xử lý song song và hệ thống phân tán tóm tắt như sau: Nội dung môn học bao gồm các khái niệm và phương pháp xây dựng hệ thống xử lí song song và hệ thống phân bố.
211,"Môn học có mã CS519 là Phương pháp luận nghiên cứu khoa học, cung cấp cho sinh viên nền tảng về khoa học và nghiên cứu khoa học, từ đó giúp hoàn thiện đề cương và luận văn tốt nghiệp. Môn học minh họa các quy trình nghiên cứu khoa học bằng ví dụ cụ thể, bổ sung các mô hình và lý thuyết để sinh viên nắm vững phương pháp luận thực tiễn như: cách xác định vấn đề khoa học, giải quyết các vấn đề trong lĩnh vực tin học, áp dụng kỹ thuật sáng tạo vào các bài toán tin học, phương pháp suy luận và tư duy khoa học, cách viết báo cáo khoa học và các vấn đề về đạo đức trong nghiên cứu khoa học."
212,"Môn Tư tưởng Hồ Chí Minh, với mã môn SS003, trang bị cho sinh viên lý thuyết và tư tưởng của Hồ Chí Minh về nền tảng cách mạng Việt Nam. Môn học bao gồm các nội dung như: Tư tưởng Hồ Chí Minh về vấn đề dân tộc và giải phóng dân tộc; về chủ nghĩa xã hội và con đường đi lên chủ nghĩa xã hội; về vai trò của Đảng Cộng sản Việt Nam; về đoàn kết dân tộc, đoàn kết quốc tế; về xây dựng nhà nước của dân, do dân, vì dân; về tầm quan trọng của văn hóa, đạo đức và đào tạo con người mới."
213,"Môn Sofware Quality Management có mã hiệu là MSIS3242. Tóm tắt nội dung môn học bao gồm: tìm hiểu quy trình tạo ra các hệ thống phần mềm phức tạp, từ thiết kế, phát triển, bảo trì tới kiểm thử; các chuẩn mực phục vụ mục đích giảm thiểu chi phí, tăng độ tin cậy, cũng như khả năng đổi mới của hệ thống phần mềm. Môn học cung cấp nền tảng lý thuyết và thực hành các công cụ đảm bảo, đo lường chất lượng phần mềm, tập trung vào những chủ đề như: đảm bảo chất lượng, ngăn ngừa và khắc phục lỗi, kỹ thuật kiểm định, giám sát, các chỉ định và phương pháp xác minh, các giải pháp cải tiến chất lượng phần mềm."
214,Môn Ngôn ngữ lập trình C# (mã môn CS511) giúp sinh viên:
215,"Môn học Công nghệ Internet vạn vật (IoT) hiện đại với mã số NT532 cung cấp một cái nhìn tổng quan về các giao thức mạng IoT đương đại như IEEE 802.15.4 WPAN/ZigBee, IEEE 802.15.1/Bluetooth, RF4CE/RFID, 6LoWPAN, uIP/uIPv6. Ngoài ra, môn học còn trình bày các kiến trúc mạng hiện đại được ứng dụng trong phát triển cơ sở hạ tầng mạng IoT, bao gồm các cấu trúc mạng như dạng sao, dạng cây, dạng cụm, dạng thanh, dạng vòng, dạng chuỗi, dạng quét, dạng nhánh-delta và dạng lưới. Thông qua môn học này, sinh viên sẽ được trang bị nền tảng kiến thức nền tảng để phát triển các ứng dụng và giải pháp IoT thông minh nhằm phục vụ cuộc sống con người tốt hơn và tiện dụng hơn (Cuộc sống hỗ trợ theo ngữ cảnh)."
216,"Môn học CE315 là môn học Lập trình hệ thống với Java. Nội dung môn học tóm tắt như sau: Môn học này giới thiệu các khái niệm cơ bản về ngôn ngữ Java như kiểu dữ liệu, cấu trúc lặp điều khiển, hướng đối tượng bao gồm đối tượng, thể hiện, lớp, thừa kế, giao diện, đa hình. Ngoài ra, môn học cũng giới thiệu về lập trình giao diện như applet, swing GUI và lập trình hệ thống như mô hình client-server, socket, TCP, UDP."
217,"Môn học Chuyên đề Mobile and Pervasive Computing với mã học phần SE405 sẽ trang bị cho sinh viên những kiến thức nền tảng về tính toán trên thiết bị di động. Môn học bao gồm các chủ đề về công nghệ, ứng dụng mới, cũng như quy trình xây dựng ứng dụng di động."
218,Môn học Xử lý văn bản Y khoa có mã môn học là CS339. Tóm tắt nội dung môn học như sau: Khóa học này tập trung vào ứng dụng xử lý ngôn ngữ tự nhiên trong lĩnh vực y tế. Một số lý thuyết về NLP được đề cập. Sự tập trung chính là vào việc thực hành và ứng dụng các bộ công cụ NLP miễn phí trong thực tế. Các chủ đề của khóa học bao gồm: giới thiệu về NLP y tế; xem xét các khái niệm cơ bản về NLP y tế và khoa học dữ liệu y tế; giới thiệu bộ công cụ CLAMP; thực nghiệm với đường ống NLP CLAMP trên văn bản thực tế; giới thiệu các bộ công cụ NLP mã nguồn mở được lựa chọn; giới thiệu học máy (ML) trong NLP lâm sàng; nghiên cứu và áp dụng phương pháp Chu kỳ Phát triển Hệ thống vào kỹ thuật phần mềm; học cách đo hiệu suất của hệ thống NLP của bạn; và học cách quản lý chú thích của máy và con người.
219,"Môn Thiết kế, quản lý và quản trị hệ CSDL (MSIS4013) tập trung vào:

- Lý thuyết và thực hành về mô hình dữ liệu và hệ thống CSDL
- An ninh dữ liệu, đảm bảo tính toàn vẹn CSDL và quản trị CSDL trong các môi trường phân tán, liên mạng và chia sẻ
- Khái niệm CSDL, bao gồm CSDL hướng đối tượng và phát triển CSDL Web
- Phân tích, thiết kế và triển khai các hệ thống CSDL sử dụng các công cụ CSDL và ngôn ngữ cấp cao để trích xuất và thao tác dữ liệu"
220,"Môn học CS331 là môn học Thị giác máy tính nâng cao. Nội dung môn học tập trung vào việc khai thác nội dung ảnh và video trong chuyên ngành Thị giác máy tính. Các chủ đề được giới thiệu bao gồm các phương pháp khai thác đặc trưng cấp cao, đặc trưng ngữ nghĩa, khai thác thông tin ngữ cảnh và mối liên hệ về không gian trong ảnh và video. Các bài toán chính bao gồm phân loại video/hình ảnh, chú thích hình ảnh, phát hiện đối tượng, nhận dạng đối tượng."
221,"Môn học mang tên Tổng hợp tiếng nói, có mã là CS535, tóm tắt như sau: Giao tiếp qua lời nói là phương thức tự nhiên nhất để mọi người trao đổi thông tin với nhau trong đời sống thường nhật. Môn học truyền đạt những mô hình và kỹ thuật dùng trong quá trình xử lý ngôn ngữ nói, thông qua những lý thuyết cơ bản về nhận dạng giọng nói (Speech Recognition), tổng hợp giọng nói (Speech Synthesis) và những hệ thống dùng tiếng nói để con người giao tiếp với máy móc (Dialog)."
222,"Môn học Nguyên lý các hệ cơ sở dữ liệu có mã học phần CS5423 cung cấp tổng quan về các hệ quản trị cơ sở dữ liệu, gồm mô hình thực thể liên kết, ngôn ngữ truy vấn có cấu trúc, đại số quan hệ, thiết kế cơ sở dữ liệu quan hệ với các định lý chuẩn hóa, các ràng buộc toàn vẹn cơ sở dữ liệu và các nguyên lý tích hợp hệ cơ sở dữ liệu với Internet."
